File_name,phrase
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\1.mp3,learning new languauges is fun
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\2.mp3,she loves to swim in the ocean
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\3.mp3,quickly run across the street
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\4.mp3,sky is blue today
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\5.mp3,star twinkle brighlty in the night sky
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\6.mp3,childern laugh and play in the park
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\7.mp3,the mountain stand tall and majestic
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\8.mp3,the leaf change color in the autumn
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\9.mp3,technology is advancing everyday
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\10.mp3,sunflowers turns their head towards the sun
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\11.mp3,the child gigles while playing with her toy
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\12.mp3,friends gather around the dinner table
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\13.mp3,music makes everything feel better
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\14.mp3,the sound of waves calms my mind
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\15.mp3,reading books exapnd your knowledge
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\16.mp3,the city lights shimmer in the evening
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\17.mp3,he enjoy playing the guitar
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\18.mp3,exercise keep your body healthy
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\19.mp3,exercise keep your body healthy
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\20.mp3,the baby is smiled at everyone in the room
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\21.wav,no pressure no diamonds
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\22.wav,do small things with great love
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\23.wav,small steps yield big results
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\24.wav,whatever you are be a good one 
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\25.wav,every emotion has a story to tell
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\26.wav,a little empathy goes a long way
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\27.wav,smile because life is too short to be unhappy
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\28.wav,stop existing and start living
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\29.wav,stay close to anything that makes you glad you are alive
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\30.wav,time moves slowly but passes quickly
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\31.wav,difficult roads often lead to beautiful destinations
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\32.wav,aspire to inspire before we expire
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\33.wav,simplicity is the ultimate sophistication
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\34.wav,remember why you started
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\35.wav,don't let anyone dull your sparkle 
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\36.wav,for some walks you have to take alone 
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\37.wav,luck is the residue of design
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\38.wav,the best is yet to come
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\39.wav,it always seems impossible until it's done
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\40.wav,"autumn, the season that teaches us change can be beautiful "
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\42.mp3,What time are we meeting tomorrow?
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\43.mp3,I need to charge my phone.
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\44.mp3,Could you help me with this?
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\45.mp3,Iâ€™ll call you back in five minutes.
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\46.mp3,Where is the nearest grocery store?
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\47.mp3,Do you want to grab lunch together?
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\48.mp3,An apple a day keeps the doctor away.
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\49.mp3,Better late than never.
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\50.mp3,Actions speak louder than words.
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\51.mp3,Every cloud has a silver lining.
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\52.mp3,How was your day at work?
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\53.mp3,I'll be out of town next weekend.
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\54.mp3,Do you have any plans for tonight?
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\55.mp3,Iâ€™ll get back to you as soon as I can.
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\56.mp3,"She sells seashells by the seashore, and the shells she sells are surely seashells."
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\57.mp3,The juxtaposition of light and dark shadows created an eerie ambiance in the twilight hours.
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\58.mp3,Six slippery snails slid slowly seaward while the sun silently sank.
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\59.mp3,"The intricate machinery whirred and clanked, producing a cacophony of clashing metal."
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\60.mp3,"In the labyrinth of logic, many find themselves ensnared by paradoxes and contradictions."
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\61.mp3,"Phenomenologically, the mind's perception of time can warp under extreme conditions of stress."
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\62.mp3,The committee's convoluted decision-making process left everyone bewildered and frustrated.
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\63.mp3,Rarely is the weather so simultaneously serene yet foreboding in its stillness.
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\64.mp3,"Surreptitiously, she sidestepped the serpentine shadows that snaked through the alley."
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\65.mp3,The quicksand of bureaucracy often entangles those who venture into its depths unprepared.
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\66.mp3,"Despite the cacophonous environment, she remained resolute in her determination."
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\67.mp3,The labyrinthine complexity of the situation left everyone baffled.
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\68.mp3,The flurry of activity in the market was both exhilarating and overwhelming.
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\69.mp3,The conspicuous absence of evidence left the jury in a state of confusion.
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\70.wav,A sunny day at the beach.
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\71.wav,A playful puppy in a park.
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\72.wav,A field of sunflowers.
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\73.wav,A colorful butterfly on a flower.
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\74.wav,A cheerful birthday party.
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\75.wav,A clear night sky full of stars.
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\76.wav,A cute cat playing with paper.
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\77.wav,A calm river flowing through the forest.
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\78.wav,A friendly snowman in winter.
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\79.wav,A busy farmers' market.
